	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
LB3	0.598169582773	0.513463403503	0.523256044588	0.996183624679	0.991760320619	0.940716549803	0.99033387582	0.997121998016	0.800613015896	1.0	0.986904761905	0.994935863547	0.947900137522	0.995917884399	0.992818823132	0.891826686361	0.886869841483	0.903364223716	0.990355953007	0.684374434184	0.0	0.471256712317	0.981936677797	0.97435639075	0.996569771554	0.788903329562	0.665863398513	0.333998174504	0.843257349808	0.674627248259	0.666589670775	0.733160010813	0.951424078281	0.701151309051	0.675882461035	0.891881032169	0.838188143802	0.817831750119	0.771136840397	0.649213111903	0.943040785933	0.907591562003
LB2	0.78262231971	0.578303016259	0.537632062829	0.998679529032	0.992046567921	0.975626389918	0.992890568754	0.998547844696	0.886596545402	1.0	0.975769482646	0.994321085808	0.941381788317	0.996381493926	0.992486903777	0.942807184867	0.898199664715	0.943810309437	0.996629295816	0.833659066232	0.471256712317	0.0	0.983303594188	0.985866716586	0.998311915765	0.890475119138	0.821842250414	0.471590909091	0.699719071897	0.800158023549	0.776937412923	0.863830717496	0.902673663168	0.802945849832	0.665936288556	0.951765670502	0.801614223886	0.912472196444	0.863404133925	0.66315252074	0.931304217019	0.949974476774
poscontrol1	0.984192373173	0.991207393273	0.981869352688	0.998133490028	0.994321468006	0.980391602859	0.969948099782	0.993172841828	0.988183161004	1.0	0.993741882158	0.96970482959	0.971063829787	0.968618758749	0.977968974058	0.987859642603	0.977117239125	0.990275863371	0.969546302051	0.99649730252	0.981936677797	0.983303594188	0.0	0.969091856225	0.992286158631	0.985256540256	0.980852089782	0.9864	0.986692197224	0.992531600665	0.991358566787	0.992277108051	0.990948178321	0.988414890201	0.988101576425	0.991482254697	0.981695039356	0.987693192438	0.995535714286	0.994907328061	0.975475452316	0.988242038372
2KM3	0.995723146294	0.993047562042	0.989300307511	0.995136135342	0.838720426524	0.894628994759	0.80916690689	0.971637390474	0.988911127982	1.0	0.984397572956	0.811467444121	0.631219687444	0.840067340067	0.868685891233	0.949232066273	0.950565359178	0.971868287698	0.919983109891	0.989727505539	0.97435639075	0.985866716586	0.969091856225	0.0	0.968692875489	0.997746015468	0.987466473238	0.994889791898	0.973146956042	0.993661438119	0.991517295765	0.984250470515	0.978067885117	0.947230443975	0.977518608926	0.985188064526	0.977917798717	0.981726263458	0.983631278789	0.994160962792	0.916343251401	0.947451056676
1KM3	0.990405123302	0.993889706637	0.995265200251	0.997227306697	0.973282211194	0.874280045753	0.947806163364	0.770293039861	0.996013038903	1.0	0.999053973312	0.97401874811	0.981028528173	0.986019716421	0.875789205161	0.852081640308	0.985634266886	0.932872667139	0.982438284972	0.998211141762	0.996569771554	0.998311915765	0.992286158631	0.968692875489	0.0	0.965691879158	0.982789515356	0.993616498895	0.993949316629	0.989329411664	0.988698029634	0.944712660873	0.998273182525	0.953257044693	0.989887145042	0.985570154172	0.996185772712	0.966559611291	0.993223956006	0.997064494777	0.983484101683	0.935743027135
LF1	0.637861149843	0.814171896968	0.897687718181	0.999606460265	0.998821005748	0.939362965413	0.99487452148	0.992629228767	0.914329423763	1.0	0.997846802778	0.99844111956	0.990449880758	0.998522047956	0.997588160434	0.876196637612	0.920759365263	0.763081707453	0.99827077401	0.588597006539	0.788903329562	0.890475119138	0.985256540256	0.997746015468	0.965691879158	0.0	0.442182493869	0.798885276359	0.97551302694	0.863832796778	0.858576448402	0.639196846131	0.992620859543	0.805836331449	0.923678919122	0.736581814438	0.963896126954	0.793876180249	0.823175836947	0.892279704045	0.98872975635	0.883806235402
LF3	0.533120461106	0.694106591489	0.837006211276	0.999292928481	0.998358723646	0.907591717016	0.990939389372	0.997017823705	0.877712084505	1.0	0.996656707924	0.997595881641	0.985035482876	0.997727877873	0.996307741066	0.926510268326	0.951761074932	0.755649100512	0.995437311227	0.513457150568	0.665863398513	0.821842250414	0.980852089782	0.987466473238	0.982789515356	0.442182493869	0.0	0.69115963659	0.95667262232	0.769259147466	0.753681269308	0.543393702937	0.98713803643	0.744951612538	0.8586267796	0.800266599771	0.937203376723	0.782458308346	0.833400946586	0.820091076418	0.986682260942	0.88223961062
LF2	0.641709618845	0.612603732791	0.593315279032	0.999166210688	0.995854849475	0.850984589996	0.978884223155	0.998669983073	0.788530295085	1.0	0.986356401122	0.997145343777	0.946074906857	0.99774368231	0.992076148709	0.934320373923	0.912348158776	0.913565051573	0.997240302005	0.750548979025	0.333998174504	0.471590909091	0.9864	0.994889791898	0.993616498895	0.798885276359	0.69115963659	0.0	0.832421385721	0.770469947784	0.745537261046	0.755429270956	0.94233888807	0.749264494437	0.7506030733	0.886814021139	0.848216957267	0.801450577826	0.823273985195	0.671114115846	0.985318265237	0.92709575108
BRF2	0.942510449501	0.858907294391	0.731857546427	0.998568787644	0.967624325507	0.979510137317	0.975618073316	0.997579052433	0.938965659108	1.0	0.904103852596	0.974982431483	0.939474855363	0.96908871939	0.984450923226	0.973595848596	0.922517528127	0.975661262799	0.99	0.958587231307	0.843257349808	0.699719071897	0.986692197224	0.973146956042	0.993949316629	0.97551302694	0.95667262232	0.832421385721	0.0	0.867333381646	0.867732785384	0.968738149249	0.749365252086	0.961135980466	0.864806521249	0.973560080742	0.818385798192	0.948460613664	0.962571830084	0.879432376835	0.943062757964	0.972474042248
BRF3	0.659385971465	0.543002393153	0.654564888873	0.996520894858	0.992460658807	0.996314847943	0.986801504538	0.992636798663	0.788863359914	1.0	0.989584724262	0.995676653931	0.99625513119	0.995272369924	0.994413080424	0.854592466357	0.865443521647	0.832016388645	0.996765651216	0.77500811042	0.674627248259	0.800158023549	0.992531600665	0.993661438119	0.989329411664	0.863832796778	0.769259147466	0.770469947784	0.867333381646	0.0	0.450375765089	0.793283136937	0.977686404945	0.793225784199	0.716353247732	0.850579192716	0.807829032663	0.729986009638	0.803867105793	0.810627546862	0.97563986894	0.87249985365
