	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
LB3	0.825301204819	0.831385642738	0.818	0.941605839416	0.895591647332	0.925531914894	0.923255813953	0.916129032258	0.905325443787	1.0	0.912596401028	0.926829268293	0.916049382716	0.926208651399	0.883966244726	0.884007029877	0.89	0.917701863354	0.9216152019	0.817894736842	0.0	0.792233009709	0.910714285714	0.889655172414	0.935427574171	0.882936507937	0.836549375709	0.828719723183	0.887133182844	0.83940397351	0.833865814696	0.851239669421	0.899509803922	0.876352395672	0.863397548161	0.88790560472	0.918918918919	0.890675241158	0.912875121007	0.875236294896	0.918518518519	0.921100917431
LB2	0.859229747676	0.848126232742	0.824257425743	0.960912052117	0.912386706949	0.925414364641	0.938837920489	0.93893129771	0.924019607843	1.0	0.91519434629	0.927152317881	0.912457912458	0.93006993007	0.918848167539	0.916492693111	0.896984924623	0.939781021898	0.920127795527	0.845183486239	0.792233009709	0.0	0.912280701754	0.907738095238	0.9284164859	0.900979325354	0.86375	0.83367983368	0.864457831325	0.88783269962	0.862962962963	0.89703989704	0.886287625418	0.895117540687	0.863539445629	0.922297297297	0.923076923077	0.933085501859	0.926439232409	0.851318944844	0.923076923077	0.936936936937
poscontrol1	0.944687045124	0.923444976077	0.889250814332	0.89880952381	0.858585858586	0.861607142857	0.854838709677	0.906735751295	0.906810035842	1.0	0.854304635762	0.862275449102	0.833333333333	0.821917808219	0.842323651452	0.9	0.849056603774	0.920289855072	0.834285714286	0.95947556615	0.910714285714	0.912280701754	0.0	0.79274611399	0.905775075988	0.959619952494	0.938356164384	0.929824561404	0.86976744186	0.897310513447	0.909090909091	0.927299703264	0.843023255814	0.915909090909	0.903846153846	0.909090909091	0.904761904762	0.905472636816	0.956989247312	0.91167192429	0.817610062893	0.888157894737
2KM3	0.933333333333	0.914634146341	0.868686868687	0.853503184713	0.798913043478	0.774509803922	0.790697674419	0.848066298343	0.905109489051	1.0	0.825174825175	0.766666666667	0.731034482759	0.725190839695	0.748858447489	0.819875776398	0.795180722892	0.886649874055	0.779141104294	0.94403892944	0.889655172414	0.907738095238	0.79274611399	0.0	0.828382838284	0.946795646917	0.936464088398	0.939698492462	0.866666666667	0.85641025641	0.884976525822	0.902140672783	0.838323353293	0.88679245283	0.861271676301	0.898454746137	0.869346733668	0.8671875	0.921739130435	0.896103896104	0.78	0.84375
1KM3	0.947826086957	0.934823091248	0.915690866511	0.941379310345	0.905660377358	0.847094801223	0.868243243243	0.864300626305	0.929824561404	1.0	0.923357664234	0.877697841727	0.889285714286	0.886363636364	0.844380403458	0.865771812081	0.905128205128	0.905769230769	0.891156462585	0.964620187305	0.935427574171	0.9284164859	0.905775075988	0.828382838284	0.0	0.953878406709	0.948417350528	0.946257197697	0.910447761194	0.898076923077	0.91726618705	0.918053777209	0.915540540541	0.910909090909	0.912317327766	0.929914529915	0.933333333333	0.912959381044	0.94261424017	0.931350114416	0.896797153025	0.888888888889
LF1	0.859414225941	0.910910910911	0.918232044199	0.976368159204	0.948905109489	0.956775700935	0.960927960928	0.957718780728	0.958011049724	1.0	0.964240102171	0.968866749689	0.954487989886	0.969465648855	0.950800915332	0.934375	0.922285714286	0.941463414634	0.96049382716	0.8698578908	0.882936507937	0.900979325354	0.959619952494	0.946795646917	0.953878406709	0.0	0.848410757946	0.888308977035	0.934703748489	0.916417910448	0.919806763285	0.874276261373	0.951127819549	0.915369649805	0.934224049332	0.93370681606	0.959232613909	0.929493545184	0.928368794326	0.943010752688	0.962311557789	0.955032119914
LF3	0.828226555246	0.866819747417	0.888607594937	0.970042796006	0.947586206897	0.946808510638	0.956884561892	0.948464912281	0.935524652339	1.0	0.957415565345	0.961428571429	0.950867052023	0.957352941176	0.933333333333	0.936562860438	0.932826362484	0.933911159263	0.954866008463	0.845208845209	0.836549375709	0.86375	0.938356164384	0.936464088398	0.948417350528	0.848410757946	0.0	0.837153196622	0.924137931034	0.902222222222	0.879955947137	0.855585831063	0.93487698987	0.925847457627	0.919168591224	0.919003115265	0.943526170799	0.921633554084	0.931818181818	0.908415841584	0.956834532374	0.949579831933
LF2	0.847414880202	0.848648648649	0.862660944206	0.963988919668	0.935897435897	0.937799043062	0.93085106383	0.951972555746	0.919037199125	1.0	0.941520467836	0.947222222222	0.932203389831	0.944444444444	0.926605504587	0.931098696462	0.930735930736	0.936454849498	0.946380697051	0.84940411701	0.828719723183	0.83367983368	0.929824561404	0.939698492462	0.946257197697	0.888308977035	0.837153196622	0.0	0.880829015544	0.885017421603	0.875630252101	0.899879372738	0.907042253521	0.911764705882	0.892655367232	0.922239502333	0.93112244898	0.941077441077	0.932663316583	0.880503144654	0.943977591036	0.933198380567
BRF2	0.912071535022	0.882063882064	0.827118644068	0.950276243094	0.873170731707	0.902953586498	0.887755102041	0.907928388747	0.904593639576	1.0	0.805369127517	0.879310344828	0.865497076023	0.872611464968	0.886274509804	0.90756302521	0.860294117647	0.92380952381	0.89417989418	0.935757575758	0.887133182844	0.864457831325	0.86976744186	0.866666666667	0.910447761194	0.934703748489	0.924137931034	0.880829015544	0.0	0.854271356784	0.858823529412	0.937226277372	0.80701754386	0.914414414414	0.845714285714	0.905376344086	0.901869158879	0.890274314214	0.929268292683	0.870967741935	0.83734939759	0.914556962025
BRF3	0.869879518072	0.836842105263	0.833684210526	0.924324324324	0.862694300518	0.875	0.910485933504	0.893728222997	0.911764705882	1.0	0.906515580737	0.907859078591	0.904632152589	0.903133903134	0.87414187643	0.869565217391	0.878787878788	0.885135135135	0.9140625	0.904137235116	0.83940397351	0.88783269962	0.897310513447	0.85641025641	0.898076923077	0.916417910448	0.902222222222	0.885017421603	0.854271356784	0.0	0.79057591623	0.873646209386	0.895442359249	0.87987012987	0.847457627119	0.891808346213	0.906172839506	0.866319444444	0.879256965944	0.88622754491	0.89226519337	0.906746031746
