	PN1	PN3	PN2	pcrblank	negcontrol1	500M3	500M2	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	2KM3	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	TMI3	1KM1	2KM1
LB3	0.259719854371	0.278942032283	0.306844093555	0.668362208054	0.343572808463	0.630712951788	0.686181858046	0.511228236008	0.517038180528	1.0	0.51421081065	0.799587874919	0.711699799978	0.454208987725	0.306622584554	0.596657618934	0.632546292313	0.47297086867	0.931833661934	0.211268736467	0.0	0.197246919075	0.521400353935	0.740451006196	0.868212031801	0.308947173267	0.22143196743	0.287438767237	0.407906336317	0.334716257815	0.346773438337	0.383608122897	0.409657314665	0.379496471864	0.461598519947	0.249716524398	0.550212162912	0.552137141016	0.639655919833	0.279429991277	0.711015014582	0.650315941981
LB2	0.266417369181	0.32400497383	0.333981225796	0.995126885219	0.910468261671	0.686414271247	0.509638029028	0.884988151194	0.57504563303	1.0	0.616360943473	0.746608088889	0.391708862165	0.56823255182	0.737771666685	0.650353858523	0.773536903517	0.593605707216	0.555245781193	0.207134087064	0.197246919075	0.0	0.912634027465	0.541692759039	0.773903913367	0.331409763202	0.267730523957	0.287414388724	0.37391462842	0.407912791069	0.385132067396	0.365269225156	0.429032884279	0.43452105325	0.459870930183	0.429007148417	0.664477312647	0.678679619679	0.630355714556	0.443519569044	0.875483199916	0.488961108892
poscontrol1	0.771625418474	0.969156598112	0.917190545947	0.995300069472	0.823397428622	0.971492545655	0.852290618818	0.977865112121	0.486664785163	1.0	0.98013960941	0.979723074398	0.971727063441	0.977540392358	0.146174116781	0.971464523102	0.660073586024	0.968930497092	0.968106122693	0.971826923583	0.521400353935	0.912634027465	0.0	0.808775185982	0.971940689649	0.816746316315	0.486628033601	0.917712903382	0.972676593461	0.970222450283	0.91366899085	0.963807146795	0.972754657716	0.965942547815	0.969935670985	0.486471451035	0.923910632685	0.462710041524	0.97327974684	0.83911213183	0.968240723159	0.965978313844
2KM3	0.80651854063	0.817560595467	0.898910727285	0.982181076139	0.817920912161	0.711775936137	0.840542227771	0.762685052165	0.925071974659	1.0	0.782901030759	0.799141380052	0.577299154303	0.430434846405	0.759557931245	0.751635893049	0.53224783128	0.797128139974	0.940440372746	0.819246916674	0.740451006196	0.541692759039	0.808775185982	0.0	0.79448303771	0.803249213327	0.73157278967	0.900915368055	0.597634201087	0.542412435485	0.761014368807	0.573921553526	0.771985479807	0.770642907359	0.785776363674	0.807819950109	0.902031282423	0.43293955123	0.436750513457	0.770249926939	0.821813510792	0.808456954071
1KM3	0.726655700825	0.590277604441	0.845768985605	0.987932580922	0.702685011484	0.240174147556	0.813285252716	0.658641081791	0.726623170724	1.0	0.558435340237	0.6152031819	0.865595704413	0.455069856302	0.879602724711	0.33254870263	0.910544080464	0.230067378709	0.949205519986	0.876085577581	0.868212031801	0.773903913367	0.971940689649	0.79448303771	0.0	0.701224063482	0.708286840706	0.872864299008	0.517165900189	0.27412010086	0.594299023261	0.281159755382	0.742296946762	0.658917594404	0.731550545965	0.860763218129	0.921339351647	0.630271357529	0.460544527456	0.867898596954	0.758692342473	0.750448344486
LF1	0.226042762429	0.423382293247	0.411659752899	0.982148381831	0.24366420918	0.272737820502	0.637878737381	0.65181579824	0.451946440978	1.0	0.500984342732	0.801201115808	0.71065127185	0.352916057258	0.517200335331	0.414499849268	0.27463006464	0.451456994096	0.927786846209	0.207291159576	0.308947173267	0.331409763202	0.816746316315	0.803249213327	0.701224063482	0.0	0.314632418981	0.33319106561	0.403902814979	0.427357233784	0.438680662734	0.324166910833	0.39225342063	0.499373166507	0.561301745175	0.414083231114	0.479186762728	0.525815417863	0.572478850847	0.51433478215	0.834520132722	0.780063121264
LF3	0.217191491418	0.256864111599	0.378722153167	0.98151258553	0.33645814943	0.415093532141	0.340938730902	0.794601830392	0.434571048098	1.0	0.54437964622	0.81296893524	0.566340043783	0.383466314507	0.239867046059	0.589821340202	0.652630501819	0.405169953772	0.927519245476	0.228938591777	0.22143196743	0.267730523957	0.486628033601	0.73157278967	0.708286840706	0.314632418981	0.0	0.256736520098	0.420729960007	0.41920246126	0.309108653544	0.281338246785	0.372311006629	0.542305980924	0.494352821162	0.377485165651	0.590266162612	0.521286950585	0.674870158535	0.4510026927	0.74551310563	0.686218706398
LF2	0.28320717615	0.311911305267	0.382590849836	0.540906282818	0.929545243757	0.674738906431	0.84273589393	0.944702867759	0.531288165659	1.0	0.612544975603	0.856640159177	0.597317393691	0.488009506854	0.354460775103	0.654688778133	0.817930409097	0.552840900009	0.964573118024	0.259792643143	0.287438767237	0.287414388724	0.917712903382	0.900915368055	0.872864299008	0.33319106561	0.256736520098	0.0	0.442801974884	0.422479568682	0.418046833524	0.507984078565	0.399519080718	0.596731476789	0.479850396541	0.443749414479	0.582342808993	0.682895524576	0.68380370817	0.510312354532	0.929608700227	0.622338721437
BRF2	0.342587835317	0.422613477511	0.414861625321	0.995858307315	0.50219663979	0.657335094944	0.720484466824	0.69047578439	0.59611591043	1.0	0.612958043064	0.767022964672	0.679616180299	0.604810312374	0.628940379455	0.471703619031	0.660001675503	0.659034381475	0.943492042513	0.39074084818	0.407906336317	0.37391462842	0.972676593461	0.597634201087	0.517165900189	0.403902814979	0.420729960007	0.442801974884	0.0	0.39252430981	0.412443543599	0.513947897171	0.434164909047	0.61492071197	0.502658681978	0.561691650123	0.740460858163	0.627357042931	0.615924326754	0.532268943628	0.798176848669	0.764529996425
BRF3	0.330218869502	0.353518097806	0.388824473981	0.818530081439	0.461139461776	0.418800028499	0.743792864649	0.294594722597	0.610530722989	1.0	0.624603163932	0.73149763589	0.704107918503	0.604524117585	0.580106769382	0.424547099441	0.63657081108	0.44516593022	0.9319602772	0.42879338088	0.334716257815	0.407912791069	0.970222450283	0.542412435485	0.27412010086	0.427357233784	0.41920246126	0.422479568682	0.39252430981	0.0	0.285425741643	0.289164675161	0.519995796139	0.501017363936	0.405723117634	0.497562616184	0.68156151881	0.531825840459	0.304757715195	0.4549562437	0.54556814226	0.705467374858
