# Constructed from biom file																																											
#OTU ID	pcrblank	negcontrol1	TMI3	PN1	PN3	PN2	500M2	500M3	500M1	340RF3	340RF2	340RF1	4KM1	2KM2	4KM2	4KM3	4RF1	4RF2	4RF3	1KM2	LB1	LB3	LB2	poscontrol1	1KM3	LF1	LF3	LF2	BRF2	BRF3	BRF1	MRB3	MRB2	MRB1	TMI1	740RF3	740RF2	740RF1	TMI2	2KM3	1KM1	2KM1	taxonomy
1041013932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	3	0	0	0	0	0	0	0	1	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Balistidae; g__Rhinecanthus; s__Rhinecanthus-rectangulus
635599504	0	2	286	1580	1226	0	0	3	0	586	0	0	0	0	0	5	6	3	4675	0	5044	746	419	0	0	5210	5124	0	27	683	288	16649	35	3723	273	3	0	735	427	0	368	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Syngnathiformes; so__Mulloidea; f__Mullidae; g__Mulloidichthys; s__Mulloidichthys-vanicolensis
634743775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Perciformes; so__Scorpaenoidei; f__Sebastidae; g__Sebastes
669636498	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	982	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Gobiiformes; so__Gobioidei; f__Gobiidae
207081486	0	0	0	1	72	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	186	1	0	0	0	1	1	0	7	175	0	548	0	0	1	319	0	3	4	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Labriformes; so__NA; f__Labridae; g__Scarus; s__Scarus-rubroviolaceus
207367087	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	30	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__Tetraodontoidei; f__Diodontidae
355330761	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__NA; c__Mammalia; sc__NA; ic__NA; o__NA; so__Ruminantia; f__Bovidae; g__Bos; s__Bos-taurus
239583871	0	0	422	489	1175	60	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	34	30	1868	167	1	0	0	238	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Pomacentridae
868477468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	16	19	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	19	4	18	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Lutjanidae; g__Lutjanus
679093588	0	0	79	1	106	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	460	541	52	0	0	0	809	731	54	372	646	0	43	0	604	1	0	0	0	0	0	1	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Siganidae; g__Siganus
239583877	0	1	77	0	325	317	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	92	58	0	0	0	0	0	15	159	0	0	20	3246	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__NA; so__NA; f__Pomacentridae; g__Stegastes
99642179	0	0	194	212	67	18	0	0	1	1	0	0	0	0	0	0	0	0	0	0	220	13	27	0	0	130	69	32	15	551	531	332	0	0	63	0	20	0	1800	1	15	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Labriformes; so__NA; f__Labridae; g__Thalassoma
33569530	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	6	1	2	3	7	5	8	0	0	0	0	6	0	495	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Labriformes; so__NA; f__Labridae; g__Thalassoma; s__Thalassoma-lunare
1073524158	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__NA; c__Mammalia; sc__NA; ic__NA; o__NA; so__Ruminantia; f__Bovidae; g__Bos; s__Bos-taurus
661414486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Mugiliformes; so__NA; f__Mugilidae; g__Mugil; s__Mugil-cephalus
704366796	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__NA; c__Mammalia; sc__NA; ic__NA; o__NA; so__NA; f__Suidae; g__Sus; s__Sus-scrofa
597568918	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	960	1090	1	0	0	0	0	0	0	2	0	0	1	2	0	3032	39	1	0	0	0	0	2382	2	1	1	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Carangiformes; so__NA; f__Carangidae
465481242	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__NA; c__Mammalia; sc__NA; ic__NA; o__NA; so__NA; f__Suidae; g__Sus; s__Sus-scrofa
542132419	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Istiophoriformes; so__NA; f__Istiophoridae; g__Tetrapturus
299758181	0	0	0	0	0	0	0	0	0	1102	0	3	0	0	4	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	122	1	0	1467	0	1	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Clupeiformes; so__Clupeoidei; f__Engraulidae; g__Encrasicholina; s__Encrasicholina-punctifer
207367017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Monacanthidae
1041013924	0	1	0	749	110	0	0	0	2	15433	0	0	2	0	0	4	0	0	0	0	2504	218	57	4	3	332	9	440	72	617	976	0	60	4225	33	4	0	0	0	0	0	0	sc__Actinopterygii; c__Actinopteri; sc__Neopterygii; ic__Teleostei; o__Tetraodontiformes; so__NA; f__Balistidae; g__Pseudobalistes; s__Pseudobalistes-flavimarginatus
